RFP_ID,Company_Name,Link,Owner,Publish_Date,End_Date,Event_Type,Status,Participated,Description,Note
"Aramco_4203233143_CABLE, POWER, 69 KV THROUGH 138 KV",Aramco,https://service.ariba.com/Sourcing.aw/109582016/aw?awh=r&awssk=u9fNiSxN&dard=1&an=Doc232018299,,,46114.64375,RFP,,Yes,,Not found
"Aramco_4203233623_CABLE, ELECTRICAL, LOW VOLTAGE",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPIUUueLr&awcharset=UTF-8,"Alshareedah, Njoud",12/1/2025 10:17 AM,12/24/2025 07:30 PM,RFP,,Yes,,
"Aramco_4203232974_WIRE,ELEC 208MM2 (14 AWG) GREEN - 600V",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPIXAmUNH&awcharset=UTF-8,"Alshareedah, Njoud",12/22/2025 2:01 PM,12/21/2025 02:32 PM,RFP,,Yes,,
Aramco_4203233573_CABLE ELECTRICAL MEDIUM VOLTAGE ROUND AL,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPITOPI%21G&awcharset=UTF-8,"Alshareedah, Njoud",11/23/2025 6:16 PM,12/14/2025 07:30 PM,RFP,,Yes,,
"Aramco_4203233775_CABLE ELECTRICAL LOW VOLTAGE, ITC, STRAN",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPIWutUzf&awcharset=UTF-8,"Alshareedah, Njoud",12/1/2025 10:18 AM,12/14/2025 07:30 PM,RFP,,Yes,,
"Aramco_4203233210_CABLE, POWER, 5KV THROUGH 35 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPIXmwyNM&awcharset=UTF-8,"Batook, Zainab",12/7/2025 3:19 PM,45881.8125,RFP,,Yes,,
Aramco_4203232447_CABLE INSTRUMENTATION THERMOCOUPLE,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPIUlhoCO&awcharset=UTF-8,"Alfaleh, Maha",12/1/2025 10:17 AM,11/25/2025 07:30 PM,RFP,,Yes,,
Aramco_4203231894_CABLE ELECTRICAL MEDIUM VOLTAGE ROUND AL,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPIP%2B5GE3&awcharset=UTF-8,"Batook, Zainab",11/18/2025 3:19 PM,11/24/2025 07:30 PM,RFP,,Yes,,
"Aramco_4203229038_CABLE, POWER, 5KV THROUGH 35 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPINlRik4&awcharset=UTF-8,"Alshareedah, Njoud",11/19/2025 10:32 AM,11/19/2025 04:30 PM,RFP,,Yes,,
Aramco_4203232300_CABLE INSTRUMENTATION THERMOCOUPLE,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPH%21tmbfz&awcharset=UTF-8,"Alshareedah, Njoud",11/10/2025 11:32 AM,11/18/2025 07:30 PM,RFP,,Yes,,
"Aramco_4203229044_CABLE, POWER, 5KV THROUGH 35 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPIPXPGr4&awcharset=UTF-8,"Nimr, Hussain",11/12/2025 1:17 PM,10/29/2025 07:30 PM,RFP,,Yes,,
"Aramco_4203228307_WIRE,ELEC 1303MM2 (6 AWG) WHITE- 600V",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPH%21uECLl&awcharset=UTF-8,"Alshareedah, Njoud",10/22/2025 1:46 PM,10/29/2025 07:30 PM,RFP,,Yes,,
Aramco_4203228066_CABLE INSTRUMENTATION THERMOCOUPLE,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPH83d57d&awcharset=UTF-8,"Alshareedah, Njoud",10/16/2025 12:02 PM,10/29/2025 05:30 PM,RFP,,Yes,,
"Aramco_4203229996_CABLE, FOUNDATION FIELDBUS",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPH7Pkpp4&awcharset=UTF-8,"Batook, Zainab",10/20/2025 10:18 AM,10/28/2025 07:30 PM,RFP,,No,,
Aramco_4203230074_CABLE 1KV XLPE PVC 1 C 185MM2 (365MCM),Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPIEOzswd&awcharset=UTF-8,"Nimr, Hussain",10/21/2025 11:47 AM,10/28/2025 07:30 PM,RFP,,Yes,,
Aramco_4203226624_CABLE TRAY; ALUMINUM OR STEEL,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPIEdA1S7&awcharset=UTF-8,"Alshareedah, Njoud",10/21/2025 9:31 PM,10/26/2025 07:30 PM,RFP,,No,,
Aramco_4203228987_ACCESSORIES CABLE TRAYS,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPH06VNLk&awcharset=UTF-8,"Aldossary, Meaad",10/20/2025 5:03 PM,10/26/2025 04:30 PM,RFP,,No,,
"Aramco_4203228813_CABLE, ELECTRICAL, LOW VOLTAGE TC, 7 S",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPH%21hCIYi&awcharset=UTF-8,"Aldossary, Meaad",10/22/2025 12:32 PM,10/22/2025 06:30 PM,RFP,,Yes,,
"Aramco_4203229012_WIRE, THERMOCOUPLE JX, 131 MM2 (16",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPH%2BdCxsE&awcharset=UTF-8,"Ramadan, Laila",10/9/2025 5:46 PM,10/20/2025 07:30 PM,RFP,,No,,
"Aramco_4203228296_WIRE,ELEC 331MM2 (12 AWG) RED - 600V",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPH%21mDspl&awcharset=UTF-8,"Batook, Zainab",10/13/2025 11:32 AM,10/19/2025 07:30 PM,RFP,,No,,
"Aramco_4203225471_CABLE, POWER, 5KV THROUGH 35 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPH83YVgz&awcharset=UTF-8,"Alshareedah, Njoud",10/16/2025 12:02 PM,45667.729166666664,RFP,,No,,
"Aramco_4203227124_CABLE, ELECTRICAL, LOW VOLTAGE, TC, PVC",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPHxFhFqV&awcharset=UTF-8,"Aldossary, Meaad",9/7/2025 9:31 PM,09/28/2025 07:30 PM,RFP,,Yes,,
Aramco_4203226823_CABLE INSTRUMENTATION THERMOCOUPLE,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPH3N4lNr&awcharset=UTF-8,"Alshareedah, Njoud",9/22/2025 2:16 PM,09/24/2025 07:30 PM,RFP,,Yes,,
Aramco_4203224398_CABLE; ELECTRICAL; MOTOR AND TRANSFORMER,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPH11tHaC&awcharset=UTF-8,"Nimr, Hussain",9/17/2025 5:03 PM,45756.645833333336,RFP,,No,,
"Aramco_4203221143_CABLE, POWER, 69 KV THROUGH 138 KV",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPHslTpnh&awcharset=UTF-8,"Aldossary, Shaikha",8/27/2025 5:46 PM,08/21/2025 10:45 AM,RFP,,Yes,,
Aramco_4203222770_CABLE INSTRUMENTATION THERMOCOUPLE,Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPHd28y4d&awcharset=UTF-8,"Shinawi, Ahmed",7/27/2025 10:04 AM,08/19/2025 07:30 PM,RFP,,No,,
"Aramco_4203222493_CABLE, ELECTRICAL, LOW VOLTAGE",Aramco,https://aramco-e-marketplace.supplier.mn2.ariba.com/ad/webjumper?itemID=JiX6AOPHlNQILz&awcharset=UTF-8,"Nimr, Hussain",8/13/2025 10:03 AM,08/14/2025 07:30 PM,RFP,,Yes,,
